Price,Car,Mileage,Ext_color,Int_color,Transmission,Drivetrain
9991,2017 Nissan Altima 3.5 SR,53149.0,Black,Gray,Automatic,FWD
8591,2016 Kia Sportage LX,90596.0,White,Gray,Automatic,AWD
9491,2017 Hyundai Elantra SE,45577.0,Blue,Beige,Automatic,FWD
9297,2017 Kia Forte LX,37442.0,Gray,Gray,Automatic,FWD
7995,2015 Volkswagen Jetta 1.8T SE,18238.0,Othe,Othe,Automatic,FWD
8990,2013 Ford Explorer Limited,134156.0,White,Othe,Automatic,FWD
6490,2015 Dodge Journey SXT,94644.0,Silve,Black,Automatic,FWD
9591,2013 Lincoln MKX Base,82190.0,White,Gray,Automatic,FWD
9498,2015 Hyundai Accent Sport,19587.0,White,Gray,Automatic,FWD
9988,2011 Acura TSX 2.4,73515.0,Black,Beige,Automatic,FWD
9175,2016 Dodge Dart SE,54419.0,Black,Black,Manual,FWD
7995,2016 Kia Forte LX,58977.0,Gray,Othe,Automatic,FWD
9888,2019 Nissan Sentra S,38347.0,Black,Othe,CVT,FWD
8000,2014 Nissan Altima 2.5 SV,64959.0,Brown,Beige,CVT,FWD
9797,2013 Hyundai Sonata Limited 2.0T,70801.0,Blue,Beige,Automatic,FWD
8468,2016 Nissan Sentra SR,103007.0,Silve,Gray,CVT,FWD
6629,2013 Dodge Dart SXT,100269.0,Orange,Black,Automatic,FWD
6398,2014 Ford Fusion Titanium,159927.0,Red,Black,Automatic,FWD
9999,2017 Nissan Sentra S,36333.0,Black,Gray,CVT,FWD
7798,2015 Nissan Sentra S,45698.0,Gray,Gray,CVT,FWD
